trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9588496310845509}",25,0,-27.015393073885118,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.9578907814534664}",20,0,-6.601402148236633,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9569328906720129}",20,0,-126.41594336109809,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9559759577813409}",20,0,-37.86832579869139,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9550199818235596}",25,0,-42.83299905453252,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.9540649618417361}",35,21,-70.83737098904983,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 1}",1
48,False,"{'a': 0.5, 'e': 0.9531108968798944}",20,0,-99.37907377684925,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9521577859830145}",25,0,-166.30172705681315,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.9512056281970315}",25,0,-152.35363061602587,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.9502544225688344}",20,0,-124.12266766624937,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.9493041681462656}",20,12,-50.33637589548379,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.9483548639781193}",30,0,-70.93684996174278,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.9474065091141411}",20,0,-65.33974674446544,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.946459102605027}",30,0,-209.5282438003029,"{0: 17, 1: 1, 2: 6, 3: 4, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.9455126435024219}",20,0,-66.30309889977535,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.9445671308589195}",20,6,-121.70593481699292,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 2}",1
58,False,"{'a': 0.5, 'e': 0.9436225637280606}",20,0,-52.18462545629137,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.9426789411643326}",20,0,-57.530548077642706,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.9417362622231683}",30,0,-40.81461729080795,"{0: 25, 1: 0, 2: 3, 3: 2, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.9407945259609451}",30,0,-39.99031979209082,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.9398537314349842}",25,0,-107.1856228334388,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.9389138777035492}",30,0,-269.5618334926428,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 5}",0
64,False,"{'a': 0.5, 'e': 0.9379749638258457}",20,0,-45.337262021313656,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.9370369888620198}",30,0,-170.6907527985948,"{0: 20, 1: 4, 2: 1, 3: 2, 4: 3}",0
66,False,"{'a': 0.5, 'e': 0.9360999518731578}",20,7,-8.837671006383669,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.9351638519212846}",20,0,-123.61349678847382,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.9342286880693633}",25,0,-105.86444667133675,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.933294459381294}",20,0,-92.46868011620334,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.9323611649219127}",20,0,-37.42784734097337,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.9314288037569908}",25,0,-75.55783241571038,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.9304973749532338}",20,0,-94.19908185125863,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.9295668775782806}",20,0,-43.86310822649337,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.9286373107007023}",30,0,-266.33702511433546,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 5}",0
75,False,"{'a': 0.5, 'e': 0.9277086733900016}",20,0,-61.51377416121873,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.9267809647166116}",20,0,-121.4684670453756,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.925854183751895}",25,0,0.033842136217322905,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.9249283295681431}",25,0,-228.51814498318217,"{0: 14, 1: 1, 2: 4, 3: 2, 4: 4}",0
79,False,"{'a': 0.5, 'e': 0.9240034012385749}",25,9,-53.96501065653065,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.9230793978373364}",25,0,-139.87903646678134,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.9221563184394991}",35,0,-160.51804284181887,"{0: 24, 1: 3, 2: 5, 3: 0, 4: 3}",0
82,False,"{'a': 0.5, 'e': 0.9212341621210596}",20,0,-68.15937656699775,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.9203129279589385}",35,3,-145.7719322909249,"{0: 21, 1: 3, 2: 4, 3: 2, 4: 2}",1
84,False,"{'a': 0.5, 'e': 0.9193926150309796}",25,0,-80.73773156308212,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.9184732224159486}",30,0,-48.369197481551225,"{0: 23, 1: 4, 2: 2, 3: 0, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.9175547491935327}",20,0,-61.80605517503427,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.9166371944443392}",20,0,-128.407161998908,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
88,False,"{'a': 0.5, 'e': 0.9157205572498949}",30,0,-226.9781041517152,"{0: 14, 1: 5, 2: 6, 3: 2, 4: 3}",0
89,False,"{'a': 0.5, 'e': 0.914804836692645}",25,0,-117.1836927086199,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
90,False,"{'a': 0.5, 'e': 0.9138900318559524}",25,0,-226.24209777455548,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
91,False,"{'a': 0.5, 'e': 0.9129761418240965}",20,0,-56.79399018130391,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.9120631656822724}",20,0,-189.61783847148268,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
93,False,"{'a': 0.5, 'e': 0.9111511025165902}",30,15,-69.55780235301654,"{0: 8, 1: 0, 2: 6, 3: 1, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.9102399514140735}",30,0,-76.72711862726706,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.9093297114626595}",20,0,-67.42497922298108,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
