trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1096,False,"{'a': 0.5, 'e': 0.3340220181386073}",20,9,8.67040874768805,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1097,False,"{'a': 0.5, 'e': 0.33368799612046873}",20,0,-10.938809984525875,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
1098,False,"{'a': 0.5, 'e': 0.33335430812434824}",25,11,16.08758315162468,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1099,False,"{'a': 0.5, 'e': 0.3330209538162239}",20,4,-24.205011530232316,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
1100,False,"{'a': 0.5, 'e': 0.33268793286240766}",20,16,8.023959889142994,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1101,False,"{'a': 0.5, 'e': 0.33235524492954527}",20,0,9.811214909773664,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
1102,False,"{'a': 0.5, 'e': 0.33202288968461574}",25,4,2.3889358662241937,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 0}",1
1103,False,"{'a': 0.5, 'e': 0.33169086679493115}",20,13,14.945023243899662,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1104,False,"{'a': 0.5, 'e': 0.33135917592813624}",20,0,9.513862924312727,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
1105,False,"{'a': 0.5, 'e': 0.3310278167522081}",25,18,13.055542293035383,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1106,False,"{'a': 0.5, 'e': 0.3306967889354559}",25,17,-26.79163280073921,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
1107,False,"{'a': 0.5, 'e': 0.33036609214652046}",20,11,2.8625509932188637,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1108,False,"{'a': 0.5, 'e': 0.3300357260543739}",20,8,-5.022312841794174,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
1109,False,"{'a': 0.5, 'e': 0.32970569032831953}",30,14,-6.849254097164994,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 0}",1
1110,False,"{'a': 0.5, 'e': 0.3293759846379912}",20,0,7.322905915554767,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
1111,False,"{'a': 0.5, 'e': 0.3290466086533532}",30,17,9.897596522131616,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1112,False,"{'a': 0.5, 'e': 0.3287175620446999}",25,12,-22.089081613038395,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
1113,False,"{'a': 0.5, 'e': 0.32838884448265515}",20,0,-58.294330819649055,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
1114,False,"{'a': 0.5, 'e': 0.3280604556381725}",25,11,-29.204108607216828,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
1115,False,"{'a': 0.5, 'e': 0.32773239518253433}",35,17,-47.114556387760146,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
1116,False,"{'a': 0.5, 'e': 0.3274046627873518}",20,14,1.5629525432096005,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
1117,False,"{'a': 0.5, 'e': 0.32707725812456445}",35,18,-16.770048071222238,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
1118,False,"{'a': 0.5, 'e': 0.32675018086643987}",25,8,-3.5195965280053008,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
1119,False,"{'a': 0.5, 'e': 0.32642343068557345}",20,12,13.656538433900053,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1120,False,"{'a': 0.5, 'e': 0.3260970072548879}",20,12,-1.1618712972894778,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1121,False,"{'a': 0.5, 'e': 0.325770910247633}",20,15,9.929067222058118,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1122,False,"{'a': 0.5, 'e': 0.32544513933738534}",20,3,11.36975284825422,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1123,False,"{'a': 0.5, 'e': 0.3251196941980479}",20,0,33.97507304862882,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1124,False,"{'a': 0.5, 'e': 0.32479457450384985}",25,7,23.219772076577698,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
1125,False,"{'a': 0.5, 'e': 0.324469779929346}",20,3,-17.288652867672717,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
1126,False,"{'a': 0.5, 'e': 0.32414531014941667}",30,4,-11.289284951525097,"{0: 21, 1: 2, 2: 3, 3: 0, 4: 0}",1
1127,False,"{'a': 0.5, 'e': 0.32382116483926726}",20,8,10.408425541408436,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1128,False,"{'a': 0.5, 'e': 0.323497343674428}",20,0,-78.7976177298718,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
1129,False,"{'a': 0.5, 'e': 0.3231738463307536}",20,13,13.41097307303007,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1130,False,"{'a': 0.5, 'e': 0.32285067248442284}",20,10,6.884835491669448,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1131,False,"{'a': 0.5, 'e': 0.3225278218119384}",30,13,2.730992551305058,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
1132,False,"{'a': 0.5, 'e': 0.3222052939901265}",20,2,13.078868364305862,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
1133,False,"{'a': 0.5, 'e': 0.32188308869613635}",20,14,10.236738559180155,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1134,False,"{'a': 0.5, 'e': 0.3215612056074402}",20,8,20.08417259830461,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1135,False,"{'a': 0.5, 'e': 0.3212396444018328}",20,12,-6.116667333034312,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
1136,False,"{'a': 0.5, 'e': 0.32091840475743094}",20,10,4.163294374623389,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1137,False,"{'a': 0.5, 'e': 0.3205974863526735}",20,3,27.853871662274358,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1138,False,"{'a': 0.5, 'e': 0.32027688886632083}",35,21,-0.5241104781966033,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
1139,False,"{'a': 0.5, 'e': 0.3199566119774545}",25,7,-29.6017431927888,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
1140,False,"{'a': 0.5, 'e': 0.31963665536547703}",25,11,18.12076096968356,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
1141,False,"{'a': 0.5, 'e': 0.31931701871011153}",30,7,-8.110077075546346,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 0}",1
1142,False,"{'a': 0.5, 'e': 0.3189977016914014}",30,0,-87.49743431136557,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
1143,False,"{'a': 0.5, 'e': 0.31867870398971}",20,0,30.85865653153227,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1144,False,"{'a': 0.5, 'e': 0.31836002528572027}",20,3,30.010710623127135,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1145,False,"{'a': 0.5, 'e': 0.31804166526043454}",20,9,-0.2949426019450547,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
1146,False,"{'a': 0.5, 'e': 0.3177236235951741}",20,10,-5.741304026897184,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
1147,False,"{'a': 0.5, 'e': 0.3174058999715789}",25,10,-0.6163832306005326,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
1148,False,"{'a': 0.5, 'e': 0.31708849407160733}",20,12,16.59147103447218,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1149,False,"{'a': 0.5, 'e': 0.31677140557753575}",20,11,9.758674662366113,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
1150,False,"{'a': 0.5, 'e': 0.31645463417195824}",25,19,7.810037321927003,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1151,False,"{'a': 0.5, 'e': 0.3161381795377863}",20,2,19.891012847146367,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
1152,False,"{'a': 0.5, 'e': 0.3158220413582485}",20,13,1.2567658199524008,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1153,False,"{'a': 0.5, 'e': 0.3155062193168902}",20,10,-78.6349886755975,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
1154,False,"{'a': 0.5, 'e': 0.31519071309757335}",25,0,-3.3237310818144365,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
1155,False,"{'a': 0.5, 'e': 0.3148755223844758}",20,0,12.104118958501735,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
