trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.85, 'e': 0.9994815821428444}",20,0,-115.8727466268161,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
43,False,"{'a': 0.85, 'e': 0.9994559873895001}",25,2,-65.6497184175668,"{0: 16, 1: 3, 2: 1, 3: 3, 4: 0}",1
44,False,"{'a': 0.85, 'e': 0.9994297761214869}",30,0,-226.78953830958977,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
45,False,"{'a': 0.85, 'e': 0.9994029483549729}",20,13,-13.108604146718926,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
46,False,"{'a': 0.85, 'e': 0.999375504106507}",25,0,-103.85047979219118,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
47,False,"{'a': 0.85, 'e': 0.9993474433930183}",30,0,-164.370745760601,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
48,False,"{'a': 0.85, 'e': 0.9993187662318158}",20,0,-32.463139083312306,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
49,False,"{'a': 0.85, 'e': 0.9992894726405892}",30,0,-177.03242501703838,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
50,False,"{'a': 0.85, 'e': 0.9992595626374083}",20,0,-226.75906023202705,"{0: 8, 1: 4, 2: 3, 3: 1, 4: 4}",0
51,False,"{'a': 0.85, 'e': 0.9992290362407229}",20,0,-42.45116031503075,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
52,False,"{'a': 0.85, 'e': 0.9991978934693634}",20,0,-98.38348194701786,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
53,False,"{'a': 0.85, 'e': 0.9991661343425401}",20,4,-18.4614000251967,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 0}",1
54,False,"{'a': 0.85, 'e': 0.9991337588798437}",25,0,-173.23296357969252,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
55,False,"{'a': 0.85, 'e': 0.999100767101245}",20,0,-119.41809713429203,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
56,False,"{'a': 0.85, 'e': 0.999067159027095}",20,0,-146.7935746863701,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
57,False,"{'a': 0.85, 'e': 0.9990329346781247}",20,0,-42.04661099291173,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
58,False,"{'a': 0.85, 'e': 0.9989980940754456}",25,0,-188.70745912931727,"{0: 12, 1: 3, 2: 5, 3: 3, 4: 2}",0
59,False,"{'a': 0.85, 'e': 0.9989626372405491}",30,0,-150.61311016305567,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
60,False,"{'a': 0.85, 'e': 0.9989265641953067}",20,0,-41.38911216561417,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
61,False,"{'a': 0.85, 'e': 0.99888987496197}",25,0,-171.723428460539,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
62,False,"{'a': 0.85, 'e': 0.9988525695631708}",20,0,-47.73520687026301,"{0: 12, 1: 6, 2: 1, 3: 1, 4: 0}",0
63,False,"{'a': 0.85, 'e': 0.9988146480219211}",30,0,-76.55269416605515,"{0: 22, 1: 5, 2: 0, 3: 2, 4: 1}",0
64,False,"{'a': 0.85, 'e': 0.9987761103616126}",30,0,-121.668178956741,"{0: 19, 1: 2, 2: 5, 3: 4, 4: 0}",0
65,False,"{'a': 0.85, 'e': 0.9987369566060175}",20,0,-50.79568240073913,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
66,False,"{'a': 0.85, 'e': 0.9986971867792875}",25,0,-84.68932654133457,"{0: 15, 1: 7, 2: 1, 3: 1, 4: 1}",0
67,False,"{'a': 0.85, 'e': 0.998656800905955}",25,18,11.09738883537344,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.85, 'e': 0.9986157990109317}",25,0,-168.12373646215715,"{0: 14, 1: 4, 2: 2, 3: 3, 4: 2}",0
69,False,"{'a': 0.85, 'e': 0.9985741811195098}",20,0,-151.48414257467047,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
